epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,16435.1,1.46967,0.73077,1.37586,0.81133,0.78361,0.76615,0.21433,0.32358,1.99337,1.14507,2.09312,0.00473919,0.00473919,0.00473919
80,16629.7,1.46854,0.7227,1.37992,0.83719,0.77564,0.77658,0.22531,0.33653,1.98984,1.12685,2.0848,0.00463579,0.00463579,0.00463579
81,16825.5,1.45363,0.71194,1.36506,0.84216,0.77607,0.77597,0.22756,0.33623,1.98913,1.14078,2.08665,0.00453258,0.00453258,0.00453258
82,17021,1.45942,0.70772,1.36999,0.82552,0.78431,0.77321,0.21835,0.33401,1.98203,1.14699,2.07803,0.0044296,0.0044296,0.0044296
83,17234.6,1.45648,0.7089,1.36005,0.82201,0.79363,0.77882,0.21163,0.33491,1.98768,1.14183,2.08693,0.00432689,0.00432689,0.00432689
84,17431.4,1.46069,0.71033,1.36693,0.82321,0.79073,0.77727,0.22136,0.33648,1.97876,1.14611,2.08008,0.00422449,0.00422449,0.00422449
85,17628.9,1.44705,0.69952,1.35159,0.82811,0.78453,0.77648,0.22282,0.33245,1.9857,1.14749,2.09052,0.00412246,0.00412246,0.00412246
86,17827.4,1.43803,0.69035,1.3472,0.82914,0.78201,0.77378,0.22187,0.3343,1.9841,1.15426,2.09113,0.00402084,0.00402084,0.00402084
87,18025.5,1.44254,0.69674,1.36179,0.84124,0.78247,0.77415,0.22128,0.33231,1.98555,1.15552,2.0978,0.00391966,0.00391966,0.00391966
88,18224.8,1.43901,0.69506,1.35307,0.83239,0.79332,0.77738,0.2186,0.33235,1.98262,1.13359,2.09166,0.00381899,0.00381899,0.00381899
89,18422.3,1.43195,0.68437,1.34784,0.82621,0.80023,0.77078,0.22892,0.33344,1.97532,1.13112,2.08143,0.00371885,0.00371885,0.00371885
90,18620.4,1.43013,0.68621,1.35008,0.831,0.7997,0.77952,0.23021,0.33471,1.97277,1.13122,2.08177,0.00361929,0.00361929,0.00361929
91,230.622,1.42729,0.68108,1.34975,0.83411,0.79393,0.77666,0.22929,0.33233,1.97069,1.12895,2.08153,0.00352037,0.00352037,0.00352037
92,461.111,1.42772,0.68371,1.35847,0.84038,0.78629,0.77964,0.23137,0.33791,1.96988,1.12681,2.08017,0.00342211,0.00342211,0.00342211
93,700.921,1.42832,0.68332,1.35274,0.83959,0.78545,0.77619,0.22997,0.33688,1.97188,1.12755,2.08237,0.00332457,0.00332457,0.00332457
94,908.919,1.41967,0.67638,1.34673,0.84553,0.7829,0.77551,0.22991,0.33768,1.97131,1.12506,2.08302,0.00322778,0.00322778,0.00322778
95,1103.91,1.42507,0.68175,1.34523,0.84512,0.77949,0.77134,0.22451,0.33401,1.97308,1.13154,2.08839,0.0031318,0.0031318,0.0031318
96,1299.52,1.41233,0.67147,1.34022,0.8475,0.78322,0.77093,0.22442,0.33504,1.96904,1.12424,2.086,0.00303665,0.00303665,0.00303665
97,1494.57,1.41677,0.67645,1.34489,0.84647,0.78739,0.77277,0.21806,0.33397,1.96937,1.13024,2.08832,0.00294239,0.00294239,0.00294239
98,1690.09,1.40781,0.67448,1.33264,0.84315,0.78887,0.77121,0.22327,0.33304,1.96902,1.13002,2.08829,0.00284906,0.00284906,0.00284906
99,1885.01,1.40667,0.65703,1.33844,0.83917,0.79237,0.77466,0.23047,0.33587,1.96999,1.12406,2.09065,0.00275668,0.00275668,0.00275668
100,2079.53,1.40774,0.66301,1.34008,0.83461,0.79626,0.77276,0.23291,0.33618,1.97152,1.12466,2.0927,0.00266532,0.00266532,0.00266532
101,2274.44,1.41163,0.66469,1.34501,0.84137,0.79041,0.77439,0.2285,0.33307,1.97239,1.12791,2.09591,0.002575,0.002575,0.002575
102,2469.15,1.40137,0.65707,1.33085,0.83864,0.79404,0.77394,0.22718,0.335,1.97368,1.12797,2.09869,0.00248577,0.00248577,0.00248577
103,2664.03,1.40544,0.65542,1.33307,0.843,0.79331,0.77467,0.22439,0.33412,1.97619,1.12081,2.10265,0.00239766,0.00239766,0.00239766
104,2858.33,1.39481,0.65364,1.3342,0.83464,0.78981,0.76729,0.23022,0.33419,1.97672,1.11646,2.10304,0.00231071,0.00231071,0.00231071
105,3053.34,1.38685,0.65376,1.32166,0.84537,0.78736,0.77276,0.23032,0.33633,1.97134,1.11415,2.10043,0.00222497,0.00222497,0.00222497
106,3247.89,1.38243,0.64384,1.32897,0.84339,0.78547,0.77163,0.2281,0.33753,1.97038,1.11466,2.10199,0.00214046,0.00214046,0.00214046
107,3442.18,1.37536,0.64415,1.31331,0.83812,0.7931,0.77246,0.22975,0.33856,1.96989,1.11515,2.1029,0.00205723,0.00205723,0.00205723
