epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,426.198,1.50257,0.76414,1.40548,0.82703,0.77537,0.76978,0.23531,0.33002,1.94044,1.17408,2.05272,0.00546421,0.00546421,0.00546421
73,652.096,1.50417,0.75638,1.40055,0.81266,0.78897,0.76977,0.24446,0.33033,1.94531,1.18625,2.05844,0.00536081,0.00536081,0.00536081
74,874.874,1.49878,0.74878,1.39651,0.82975,0.76724,0.76198,0.24782,0.32834,1.95952,1.21688,2.07378,0.00525728,0.00525728,0.00525728
75,1109.64,1.49562,0.7498,1.38995,0.82436,0.77687,0.76856,0.2394,0.32997,1.95147,1.19667,2.07365,0.00515366,0.00515366,0.00515366
76,215.27,1.44662,0.71534,1.36529,0.81843,0.78237,0.76718,0.23638,0.32868,1.95984,1.18128,2.08753,0.00505,0.00505,0.00505
77,421.347,1.44994,0.72343,1.37729,0.83126,0.78101,0.77489,0.23532,0.33205,1.95439,1.17937,2.0857,0.00494634,0.00494634,0.00494634
78,615.338,1.45556,0.72111,1.3746,0.82701,0.77836,0.77197,0.24321,0.33272,1.95243,1.1742,2.08635,0.00484272,0.00484272,0.00484272
79,854.06,1.45765,0.71911,1.37506,0.83282,0.77264,0.77218,0.24614,0.33195,1.96609,1.18911,2.09724,0.00473919,0.00473919,0.00473919
80,1077.95,1.47116,0.73099,1.37599,0.83055,0.77626,0.77119,0.22887,0.32651,1.96153,1.17951,2.09287,0.00463579,0.00463579,0.00463579
81,1307.47,1.47841,0.72973,1.38131,0.81671,0.79537,0.77837,0.23878,0.33366,1.95853,1.1568,2.08416,0.00453258,0.00453258,0.00453258
82,1535.88,1.48043,0.7343,1.38374,0.82227,0.79751,0.77925,0.23888,0.33322,1.95625,1.16578,2.08467,0.0044296,0.0044296,0.0044296
83,1768.81,1.46938,0.72926,1.37008,0.81889,0.79268,0.78316,0.23703,0.33455,1.96494,1.15753,2.08951,0.00432689,0.00432689,0.00432689
84,2005.66,1.47458,0.71419,1.3811,0.835,0.78753,0.77524,0.24119,0.33782,1.96127,1.16694,2.08376,0.00422449,0.00422449,0.00422449
85,2236.96,1.47312,0.71859,1.37887,0.8255,0.79203,0.77806,0.23823,0.33939,1.96206,1.16689,2.08227,0.00412246,0.00412246,0.00412246
86,2470.49,1.47535,0.72153,1.38354,0.82839,0.79739,0.78231,0.23864,0.33976,1.95234,1.16596,2.07178,0.00402084,0.00402084,0.00402084
87,2686.31,1.46528,0.70891,1.3705,0.83326,0.79529,0.77834,0.23381,0.33995,1.95691,1.16095,2.07606,0.00391966,0.00391966,0.00391966
88,2905.99,1.46464,0.70899,1.37117,0.82939,0.79678,0.77628,0.24323,0.3397,1.96148,1.1619,2.0805,0.00381899,0.00381899,0.00381899
89,3135.96,1.45535,0.70393,1.37173,0.8245,0.80142,0.78125,0.23791,0.34023,1.95608,1.15499,2.07952,0.00371885,0.00371885,0.00371885
90,3366.78,1.4516,0.70485,1.35926,0.82045,0.79927,0.77933,0.24275,0.34257,1.95158,1.15752,2.07869,0.00361929,0.00361929,0.00361929
91,3599.83,1.44489,0.69278,1.3669,0.82945,0.78949,0.7753,0.24594,0.34201,1.94543,1.16049,2.07575,0.00352037,0.00352037,0.00352037
92,3823.42,1.44278,0.69779,1.35392,0.82453,0.797,0.77506,0.2405,0.33996,1.94501,1.16954,2.07521,0.00342211,0.00342211,0.00342211
93,4051.05,1.44568,0.6896,1.35891,0.82786,0.79923,0.77548,0.24049,0.34127,1.93927,1.17385,2.07139,0.00332457,0.00332457,0.00332457
94,4269.99,1.43949,0.69024,1.3527,0.82923,0.79757,0.77766,0.25087,0.3441,1.93441,1.17105,2.06899,0.00322778,0.00322778,0.00322778
95,4503.82,1.4444,0.69609,1.35985,0.82298,0.79854,0.77853,0.25143,0.34285,1.92969,1.16564,2.06746,0.0031318,0.0031318,0.0031318
96,4727.47,1.44119,0.69306,1.35863,0.83045,0.79881,0.77496,0.25429,0.34289,1.92829,1.15713,2.06568,0.00303665,0.00303665,0.00303665
97,4958.2,1.42377,0.67857,1.34962,0.83221,0.79886,0.77675,0.24737,0.34306,1.92824,1.15548,2.06825,0.00294239,0.00294239,0.00294239
98,5197.75,1.42728,0.68047,1.34951,0.81948,0.79669,0.77102,0.24855,0.34286,1.93059,1.161,2.07344,0.00284906,0.00284906,0.00284906
99,5420.62,1.42555,0.67807,1.35177,0.81802,0.79556,0.76811,0.25414,0.34443,1.92736,1.15891,2.07285,0.00275668,0.00275668,0.00275668
100,5652.76,1.42173,0.67703,1.34766,0.82454,0.79118,0.77006,0.25374,0.34247,1.92803,1.15634,2.07478,0.00266532,0.00266532,0.00266532
101,5885.83,1.41856,0.67392,1.34226,0.81906,0.79903,0.77781,0.25697,0.34493,1.92567,1.14987,2.07271,0.002575,0.002575,0.002575
102,6121.3,1.41269,0.66472,1.34114,0.82338,0.79639,0.77338,0.25222,0.34144,1.92651,1.15211,2.07158,0.00248577,0.00248577,0.00248577
103,6352.24,1.42164,0.6723,1.34939,0.82391,0.79841,0.77655,0.24662,0.34467,1.92619,1.14708,2.07219,0.00239766,0.00239766,0.00239766
104,6584.36,1.42243,0.66999,1.34788,0.82826,0.79469,0.77525,0.25134,0.34271,1.927,1.14996,2.07213,0.00231071,0.00231071,0.00231071
105,6808.59,1.40546,0.66664,1.34276,0.82763,0.79372,0.77128,0.25713,0.34331,1.92338,1.14979,2.07139,0.00222497,0.00222497,0.00222497
106,7044.82,1.40221,0.65805,1.33256,0.82734,0.79512,0.77271,0.25908,0.34216,1.92259,1.15166,2.07148,0.00214046,0.00214046,0.00214046
107,7278.46,1.4082,0.65646,1.33581,0.82579,0.80138,0.7758,0.26147,0.34362,1.92044,1.14898,2.07148,0.00205723,0.00205723,0.00205723
108,7504.65,1.39971,0.65586,1.33144,0.82552,0.7992,0.77371,0.26028,0.34368,1.92019,1.1483,2.07296,0.00197532,0.00197532,0.00197532
109,7729.43,1.40018,0.65351,1.33615,0.83085,0.79961,0.77578,0.25905,0.34531,1.9195,1.14893,2.07412,0.00189475,0.00189475,0.00189475
110,7962.03,1.39373,0.64546,1.32536,0.83323,0.79859,0.77503,0.26098,0.34537,1.92019,1.15058,2.07539,0.00181557,0.00181557,0.00181557
111,8179.75,1.3932,0.65455,1.32716,0.83523,0.79919,0.7766,0.26185,0.34556,1.92021,1.14746,2.07709,0.0017378,0.0017378,0.0017378
112,8384.89,1.38209,0.64201,1.32347,0.83608,0.7995,0.77839,0.26045,0.34442,1.92187,1.14801,2.08046,0.00166149,0.00166149,0.00166149
113,8608.07,1.38707,0.64255,1.32591,0.83875,0.79859,0.78058,0.26499,0.34597,1.92202,1.14845,2.08204,0.00158667,0.00158667,0.00158667
